Total T: 33251 Episode Num: 133 Episode T: 250 Reward: 42.233|A_Loss: -6.629|C_Loss: 0.006|T_Loss: 0.000|T: 0.001
Total T: 33501 Episode Num: 134 Episode T: 250 Reward: 43.645|A_Loss: -6.618|C_Loss: 0.006|T_Loss: 0.000|T: 0.001
Total T: 33751 Episode Num: 135 Episode T: 250 Reward: 37.164|A_Loss: -6.625|C_Loss: 0.006|T_Loss: -0.000|T: 0.001
Total T: 34001 Episode Num: 136 Episode T: 250 Reward: 43.983|A_Loss: -6.615|C_Loss: 0.005|T_Loss: 0.000|T: 0.001
Total T: 34251 Episode Num: 137 Episode T: 250 Reward: 45.308|A_Loss: -6.613|C_Loss: 0.006|T_Loss: 0.000|T: 0.001
Total T: 34501 Episode Num: 138 Episode T: 250 Reward: 42.492|A_Loss: -6.617|C_Loss: 0.006|T_Loss: 0.000|T: 0.001
Total T: 34751 Episode Num: 139 Episode T: 250 Reward: 40.135|A_Loss: -6.611|C_Loss: 0.006|T_Loss: 0.000|T: 0.001
Total T: 35001 Episode Num: 140 Episode T: 250 Reward: 43.043|A_Loss: -6.609|C_Loss: 0.006|T_Loss: 0.000|T: 0.001
Total T: 35251 Episode Num: 141 Episode T: 250 Reward: 40.785|A_Loss: -6.610|C_Loss: 0.006|T_Loss: -0.000|T: 0.001
Total T: 35501 Episode Num: 142 Episode T: 250 Reward: 48.866|A_Loss: -6.605|C_Loss: 0.006|T_Loss: -0.000|T: 0.001
Total T: 35751 Episode Num: 143 Episode T: 250 Reward: 41.208|A_Loss: -6.610|C_Loss: 0.006|T_Loss: -0.000|T: 0.001
Total T: 36001 Episode Num: 144 Episode T: 250 Reward: 46.673|A_Loss: -6.607|C_Loss: 0.006|T_Loss: -0.000|T: 0.001
Total T: 36251 Episode Num: 145 Episode T: 250 Reward: 44.970|A_Loss: -6.606|C_Loss: 0.006|T_Loss: -0.000|T: 0.001
Total T: 36501 Episode Num: 146 Episode T: 250 Reward: 40.332|A_Loss: -6.612|C_Loss: 0.006|T_Loss: 0.000|T: 0.001
Total T: 36751 Episode Num: 147 Episode T: 250 Reward: 45.021|A_Loss: -6.607|C_Loss: 0.006|T_Loss: 0.000|T: 0.001
Total T: 37001 Episode Num: 148 Episode T: 250 Reward: 45.235|A_Loss: -6.605|C_Loss: 0.007|T_Loss: 0.000|T: 0.001
Total T: 37251 Episode Num: 149 Episode T: 250 Reward: 43.055|A_Loss: -6.602|C_Loss: 0.006|T_Loss: -0.000|T: 0.001
Total T: 37501 Episode Num: 150 Episode T: 250 Reward: 43.673|A_Loss: -6.606|C_Loss: 0.006|T_Loss: -0.000|T: 0.001
Total T: 37751 Episode Num: 151 Episode T: 250 Reward: 43.682|A_Loss: -6.599|C_Loss: 0.006|T_Loss: -0.000|T: 0.001
Total T: 38001 Episode Num: 152 Episode T: 250 Reward: 41.693|A_Loss: -6.596|C_Loss: 0.006|T_Loss: -0.000|T: 0.001
Total T: 38251 Episode Num: 153 Episode T: 250 Reward: 44.881|A_Loss: -6.596|C_Loss: 0.006|T_Loss: -0.000|T: 0.001
Total T: 38501 Episode Num: 154 Episode T: 250 Reward: 39.683|A_Loss: -6.589|C_Loss: 0.006|T_Loss: -0.000|T: 0.001
Total T: 38751 Episode Num: 155 Episode T: 250 Reward: 41.336|A_Loss: -6.583|C_Loss: 0.007|T_Loss: 0.000|T: 0.001
Total T: 39001 Episode Num: 156 Episode T: 250 Reward: 42.957|A_Loss: -6.577|C_Loss: 0.007|T_Loss: 0.000|T: 0.001
Total T: 39251 Episode Num: 157 Episode T: 250 Reward: 50.746|A_Loss: -6.576|C_Loss: 0.007|T_Loss: -0.000|T: 0.001
Total T: 39501 Episode Num: 158 Episode T: 250 Reward: 41.048|A_Loss: -6.577|C_Loss: 0.007|T_Loss: 0.000|T: 0.001
Total T: 39751 Episode Num: 159 Episode T: 250 Reward: 45.166|A_Loss: -6.568|C_Loss: 0.007|T_Loss: 0.000|T: 0.001
Total T: 40001 Episode Num: 160 Episode T: 250 Reward: 43.027|A_Loss: -6.575|C_Loss: 0.006|T_Loss: 0.000|T: 0.001
Best model saved
-------------------------------------------------
Evaluation over 10 episodes: 45.401, minimum reward: 41.328, Curriculum: True
-------------------------------------------------
Current power: 1.000
Total T: 40251 Episode Num: 161 Episode T: 250 Reward: 51.862|A_Loss: -6.570|C_Loss: 0.007|T_Loss: -0.000|T: 0.001
Total T: 40501 Episode Num: 162 Episode T: 250 Reward: 42.704|A_Loss: -6.564|C_Loss: 0.007|T_Loss: 0.000|T: 0.001
Total T: 40751 Episode Num: 163 Episode T: 250 Reward: 45.865|A_Loss: -6.565|C_Loss: 0.007|T_Loss: -0.000|T: 0.001
